"mat_code","anio_prod","anio_cat","clasif","mat_duration","mat_type","genres","mat_name","release_date","imdb_rating","imdb_votes","boxoffice","mmr_clasificacion","country"
"128736","2006","2000s","04","108","LARGOMETRAJE","AVENTURAS - FAMILIAR - ANIMACIÓN","HAPPY FEET","2018-11-13 00:00:00","6.5","119437.00","198000317.00","ATP","TBS SUR"
"129715","2000","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2001","2000s","04","12","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2017-10-11 00:00:00","","","","SAM 13","TBS SUR"
"129715","2002","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2017-10-11 00:00:00","","","","SAM 13","TBS SUR"
"129715","2002","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2003","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2004","2000s","04","10","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2005","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2017-10-11 00:00:00","","","","SAM 13","TBS SUR"
"129715","2005","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2006","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
