"mat_code","mat_name","genres","mat_type","anio_prod"
"137322","RUSH HOUR 2","ACCIÓN - COMEDIA - POLICIAL - TERROR","LARGOMETRAJE","2001"
"137324","NOT ANOTHER TEEN MOVIE","COMEDIA","LARGOMETRAJE","2001"
"137374","LAST ACTION HERO","ACCIÓN - AVENTURAS - COMEDIA - FANTASÍA","LARGOMETRAJE","1993"
"137408","ROCK STAR","COMEDIA - DRAMA","LARGOMETRAJE","2001"
"137426","JACK","COMEDIA - DRAMA","LARGOMETRAJE","1996"
"137430","BAD COMPANY","ACCIÓN - AVENTURAS - COMEDIA","LARGOMETRAJE","2002"
"137451","BUBBLE BOY","AVENTURAS - COMEDIA - DRAMA","LARGOMETRAJE","2001"
"137465","CHARLIE'S ANGELS (2000)","ACCIÓN - AVENTURAS - COMEDIA","LARGOMETRAJE","2000"
"137478","BIG FAT LIAR","COMEDIA","LARGOMETRAJE","2002"
"137486","SPIDER-MAN","ACCIÓN - CIENCIA FICCIÓN - FANTASÍA - TERROR","LARGOMETRAJE","2002"
"137490","ABOUT A BOY","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2002"
"137496","FLINTSTONES IN VIVA ROCK VEGAS, THE","COMEDIA - FAMILIAR","LARGOMETRAJE","2000"
"137527","DEATH BECOMES HER","COMEDIA - FANTASÍA","LARGOMETRAJE","1992"
"137577","LORD OF THE RINGS: THE FELLOWSHIP OF THE RING, THE","ACCIÓN - AVENTURAS - DRAMA - FANTASÍA","LARGOMETRAJE","2001"
"137579","OSMOSIS JONES","ANIMACIÓN - COMEDIA","LARGOMETRAJE","2001"
"137591","DR. SEUSS' HOW THE GRINCH STOLE CHRISTMAS","FAMILIAR - FANTASÍA","LARGOMETRAJE","2000"
"137659","LITTLE WOMEN (1994)","DRAMA - FAMILIAR - ROMANCE","LARGOMETRAJE","1994"
"137665","MASTER OF DISGUISE, THE","COMEDIA - FAMILIAR","LARGOMETRAJE","2002"
"137671","PUNCH DRUNK LOVE","ROMANCE","LARGOMETRAJE","2002"
"137674","DANCE WITH ME","DRAMA - MUSICAL - MÚSICA","LARGOMETRAJE","1998"
"137786","40 DAYS AND 40 NIGHTS","COMEDIA - ROMANCE","LARGOMETRAJE","2002"
"137825","SNATCH","COMEDIA - POLICIAL","LARGOMETRAJE","2000"
"137861","MEN IN BLACK II","ACCIÓN - CIENCIA FICCIÓN - COMEDIA","LARGOMETRAJE","2002"
"137873","HARRY POTTER AND THE SORCERER'S STONE","AVENTURAS - FAMILIAR - FANTASÍA","LARGOMETRAJE","2001"
"137888","ROYAL TENENBAUMS, THE","COMEDIA - DRAMA","LARGOMETRAJE","2001"
"137891","OCEAN'S ELEVEN","ACCIÓN - SUSPENSO","LARGOMETRAJE","2001"
"137989","STUART LITTLE 2","AVENTURAS - COMEDIA - FAMILIAR - FANTASÍA","LARGOMETRAJE","2002"
"138012","PRINCESS DIARIES, THE","COMEDIA - FAMILIAR","LARGOMETRAJE","2001"
"138027","EIGHT LEGGED FREAKS","ACCIÓN - CIENCIA FICCIÓN - COMEDIA - TERROR","LARGOMETRAJE","2002"
"138063","AUSTIN POWERS IN GOLDMEMBER","ACCIÓN - AVENTURAS - COMEDIA - MÚSICA","LARGOMETRAJE","2002"
"138068","DEATH TO SMOOCHY","COMEDIA - DRAMA - MUSICAL - POLICIAL","LARGOMETRAJE","2002"
"138139","HULK, THE","ACCIÓN - CIENCIA FICCIÓN - DRAMA","LARGOMETRAJE","2003"
"138141","DADDY DAY CARE","COMEDIA - FAMILIAR","LARGOMETRAJE","2003"
"138157","ANGER MANAGEMENT","COMEDIA - DRAMA","LARGOMETRAJE","2003"
"138178","MONA LISA SMILE","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2003"
"138198","HARRY POTTER AND THE CHAMBER OF SECRETS","AVENTURAS - FAMILIAR - FANTASÍA - SUSPENSO","LARGOMETRAJE","2002"
"138254","WHAT ABOUT BOB?","COMEDIA","LARGOMETRAJE","1991"
"138269","SCOOBY-DOO","AVENTURAS - COMEDIA - FAMILIAR - FANTASÍA - SUSPENSO","LARGOMETRAJE","2002"
